PA14_65320	-1	PA14_48980	2.3668e-201
PA14_65630	-1	PA14_48980	3.9324e-198
PA14_65090	-1	PA14_48980	7.482e-197
PA14_61840	-1	PA14_48980	7.0828e-196
PA14_64180	-1	PA14_48980	9.3413e-196
PA14_60970	-1	PA14_48980	1.1777e-195
PA14_51320	-1	PA14_48980	1.2435e-195
PA14_59790	-1	PA14_48980	1.6141e-195
PA14_66690	-1	PA14_48980	1.7436e-195
PA14_30210	-1	PA14_48980	2.114e-195
rcsB	-1	PA14_48980	3.5261e-195
PA14_58670	-1	PA14_48980	4.5017e-195
PA14_65410	-1	PA14_48980	4.8835e-195
PA14_65860	-1	PA14_48980	5.7959e-195
PA14_20820	-1	PA14_48980	5.8184e-195
PA14_65050	-1	PA14_48980	6.277e-195
PA14_68040	-1	PA14_48980	5.2169e-188
PA14_65320	-1	PA14_48930	1.462e-177
PA14_61010	-1	PA14_48930	4.4561e-174
PA14_64470	-1	PA14_48930	7.6931e-174
PA14_69620	-1	PA14_48930	1.6382e-173
PA14_65630	-1	PA14_48970	2.6562e-173
PA14_65320	-1	PA14_48970	4.1274e-173
tpbA	1	PA14_48970	1.1381e-172
algR	1	PA14_48970	1.2439e-172
PA14_61840	-1	PA14_48930	1.4946e-172
PA14_70560	1	PA14_48970	2.0882e-172
algW	1	PA14_48970	2.1529e-172
PA14_61840	-1	PA14_48970	3.0666e-172
cbrB	1	PA14_48970	3.648e-172
PA14_63920	-1	PA14_48930	4.6779e-172
PA14_69980	-1	PA14_48930	4.9973e-172
pilR	1	PA14_48970	5.3912e-172
PA14_59800	1	PA14_48970	5.8555e-172
PA14_63280	-1	PA14_48930	8.2453e-172
tpbA	-1	PA14_48930	1.5973e-171
PA14_59590	-1	PA14_48930	2.0931e-171
PA14_62170	-1	PA14_48930	2.2613e-171
PA14_65280	-1	PA14_48930	2.8814e-171
PA14_64180	-1	PA14_48930	3.6272e-171
PA14_65630	-1	PA14_48930	4.5095e-171
PA14_58620	-1	PA14_48930	6.4076e-171
PA14_67500	-1	PA14_48930	6.9412e-171
PA14_65320	-1	PA14_48950	1.0699e-169
PA14_65320	-1	PA14_48960	2.7299e-168
PA14_69980	1	PA14_48960	1.4934e-167
PA14_70560	1	PA14_48950	6.7902e-167
PA14_20820	-1	PA14_48960	7.5419e-167
PA14_68250	1	PA14_48960	7.7092e-167
PA14_61020	-1	PA14_48960	8.9651e-167
PA14_66880	1	PA14_48960	9.8547e-167
PA14_59800	-1	PA14_48960	1.2293e-166
PA14_60870	1	PA14_48960	1.2759e-166
PA14_62900	1	PA14_48950	3.4055e-165
PA14_65630	-1	PA14_49000	5.6564e-165
algR	1	PA14_48950	1.1644e-164
PA14_65630	-1	PA14_48950	1.2373e-164
PA14_65090	-1	PA14_48950	2.2915e-164
PA14_65280	1	PA14_48950	2.7873e-164
PA14_72400	-1	PA14_48940	1.169e-163
PA14_65320	-1	PA14_48940	1.5433e-163
PA14_65320	-1	PA14_49000	3.1319e-163
algW	-1	PA14_49000	1.5697e-162
PA14_60970	-1	PA14_49000	6.3523e-162
PA14_64470	1	PA14_49000	1.5246e-161
PA14_66690	-1	PA14_49000	2.2511e-161
hasR	-1	PA14_49000	2.4305e-161
PA14_19340	-1	PA14_49000	2.6065e-161
PA14_20820	-1	PA14_49000	3.3351e-161
PA14_65860	-1	PA14_49000	3.4656e-161
rcsB	-1	PA14_49000	3.5359e-161
PA14_63920	1	PA14_49000	5.6819e-161
PA14_56940	1	PA14_49000	5.7273e-161
algR	1	PA14_49000	6.1514e-161
PA14_51320	-1	PA14_49000	6.56e-161
PA14_70560	1	PA14_48940	7.359e-161
PA14_61010	1	PA14_49000	8.0523e-161
PA14_60970	-1	PA14_48940	8.2987e-161
PA14_65630	-1	PA14_48940	8.5376e-161
PA14_59800	1	PA14_49000	8.73e-161
PA14_72400	1	PA14_49000	8.7471e-161
PA14_69980	1	PA14_49000	1.0026e-160
PA14_69620	1	PA14_49000	1.0426e-160
PA14_51880	-1	PA14_48940	1.3764e-160
PA14_68040	-1	PA14_48930	1.6114e-160
hasR	-1	PA14_48940	1.8438e-160
PA14_61840	-1	PA14_48940	3.3989e-160
PA14_68250	-1	PA14_48940	3.7303e-160
algR	1	PA14_48940	4.9487e-160
